statement,alt_1,alt_2,alt_3,alt_4,alt_5,correct
What is the capital of Brazil?,São Paulo,Salvador,Brasília,Rio de Janeiro,Curitiba,3
Which planet is known as the Red Planet?,Venus,Earth,Saturn,Jupiter,Mars,5
Who wrote 'Dom Casmurro'?,Machado de Assis,Carlos Drummond,José de Alencar,Jorge Amado,Clarice Lispector,1
What is the chemical symbol for water?,HO,NaCl,H2O,CO2,O2,3
Which continent is Egypt located in?,America,Africa,Asia,Oceania,Europe,2
What is 9 x 7?,49,81,72,63,54,4
Who painted the Mona Lisa?,Da Vinci,Rembrandt,Van Gogh,Michelangelo,Picasso,1
What gas do plants absorb?,Oxygen,Nitrogen,Hydrogen,Carbon Dioxide,Helium,4
What is the largest ocean?,Indian,Pacific,Southern,Atlantic,Arctic,2
Which language is spoken in Argentina?,Spanish,French,Italian,Portuguese,English,1
What is the boiling point of water at sea level?,100°C,90°C,110°C,80°C,120°C,1
Who discovered Brazil?,Amerigo Vespucci,Columbus,Magellan,Vasco da Gama,Pedro Álvares Cabral,5
Which organ pumps blood?,Kidney,Lung,Brain,Heart,Liver,4
What is the currency of the USA?,Dollar,Euro,Real,Yen,Peso,1
Which is a mammal?,Frog,Whale,Eagle,Shark,Lizard,2
What is the square root of 64?,10,9,7,6,8,5
Who wrote 'Romeo and Juliet'?,Shakespeare,Tolstoy,Homer,Cervantes,Dante,1
Which element has atomic number 1?,Nitrogen,Carbon,Oxygen,Hydrogen,Helium,4
Which country hosted the 2016 Olympics?,Japan,Brazil,Russia,China,UK,2
What is the freezing point of water?,5°C,1°C,-10°C,10°C,0°C,5
Which planet has rings?,Saturn,Earth,Venus,Mercury,Mars,1
Who is known as the father of computers?,Einstein,Tesla,Turing,Newton,Babbage,5
What is the largest mammal?,Giraffe,Elephant,Blue Whale,Shark,Hippo,3
Which vitamin is produced by sunlight?,B,C,A,D,K,4
What is 15% of 200?,20,35,30,25,40,3
Which country is known for sushi?,China,Thailand,Korea,Vietnam,Japan,5
What is the speed of light?,"150,000 km/s","300,000 km/s","3,000 km/s","1,000 km/s","30,000 km/s",2
Who painted Starry Night?,Van Gogh,Picasso,Da Vinci,Monet,Rembrandt,1
Which metal is liquid at room temperature?,Copper,Iron,Gold,Silver,Mercury,5
What is the capital of France?,Rome,Berlin,Lisbon,Madrid,Paris,5
